Timeguessr Day,Timeguessr Round,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance,Sarah Time Guessed,Sarah Time Score,Sarah Geography Score,Sarah Geography Score (Min),Sarah Geography Score (Max)
691,5,42808,,OOO,,OO%,,,,5000.0,5000.0,5000.0
692,1,28148,,O%X,,%XX,,,,,4250.0,4499.0
692,2,28148,,XXX,,OO%,,,,,12.0,2499.0
692,3,28148,,XXX,,XXX,,,,,12.0,2499.0
692,4,28148,,OXX,,OXX,,,,,3500.0,4249.0
692,5,28148,,OOO,,OOO,,,,5000.0,5000.0,5000.0
694,1,32536,,OOO,,%XX,,,,5000.0,5000.0,5000.0
694,2,32536,,O%X,,OXX,,,,,4250.0,4499.0
694,3,32536,,%XX,,OXX,,,,,2500.0,3499.0
694,4,32536,,OXX,,OXX,,,,,3500.0,4249.0
694,5,32536,,OO%,,O%X,,,,,4750.0,4999.0
697,1,33856,,OXX,,OOO,,,,,3500.0,4249.0
697,2,33856,,XXX,,OOX,,,,,12.0,2499.0
697,3,33856,,XXX,,OOO,,,,,12.0,2499.0
697,4,33856,,OXX,,%XX,,,,,3500.0,4249.0
697,5,33856,,%XX,,OOX,,,,,2500.0,3499.0
698,1,35001,,%XX,,OO%,,,,,2500.0,3499.0
698,2,35001,,O%X,,OO%,,,,,4250.0,4499.0
698,3,35001,,OO%,,OXX,,,,,4750.0,4999.0
698,4,35001,,OO%,,%XX,,,,,4750.0,4999.0
698,5,35001,,XXX,,OOX,,,,,12.0,2499.0
701,1,38719,,XXX,,OO%,,,,,12.0,2499.0
701,2,38719,,XXX,,OOO,,,,,12.0,2499.0
701,3,38719,,OXX,,O%X,,,,,3500.0,4249.0
701,4,38719,,OO%,,O%X,,,,,4750.0,4999.0
701,5,38719,,OOO,,OO%,,,,5000.0,5000.0,5000.0
712,1,36799,,OOO,,OOX,,,,5000.0,5000.0,5000.0
712,2,36799,,O%X,,OO%,,,,,4250.0,4499.0
712,3,36799,,OO%,,OXX,,,,,4750.0,4999.0
712,4,36799,,XXX,,OOX,,,,,12.0,2499.0
712,5,36799,,OXX,,XXX,,,,,3500.0,4249.0
713,1,26423,,O%X,,%XX,,,,,4250.0,4499.0
713,2,26423,,OO%,,OOX,,,,,4750.0,4999.0
713,3,26423,,XXX,,OXX,,,,,12.0,2499.0
713,4,26423,,OXX,,O%X,,,,,3500.0,4249.0
713,5,26423,,XXX,,XXX,,,,,12.0,2499.0
714,1,30013,,OO%,,OO%,,,,,4750.0,4999.0
