Date,Timeguessr Day,Timeguessr Round,Year,City,Country,Michael Total Score,Michael Round Score,Michael Geography,Michael Geography Distance,Michael Time,Michael Time Distance,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance
2025-04-02,671,4,,,,41915.0,,🟩🟩🟨,,🟩🟩⬛,,44811.0,,🟩🟩🟨,,🟩🟩🟨,
2025-04-02,671,5,,,,41915.0,,🟩⬛️⬛️,,🟨⬛️⬛️,,44811.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-04-03,672,1,,,,33097.0,,🟩🟩🟨,,🟩🟨⬛,,34145.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-03,672,2,,,,33097.0,,🟩⬛️⬛️,,🟩⬛⬛,,34145.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-03,672,3,,,,33097.0,,🟩🟩🟨,,🟩🟩🟩,,34145.0,,🟩🟩🟨,,🟩🟩🟩,
2025-04-03,672,4,,,,33097.0,,🟨⬛️⬛️,,🟨⬛️⬛️,,34145.0,,🟨⬛️⬛️,,🟩⬛⬛,
2025-04-03,672,5,,,,33097.0,,⬛️⬛️⬛️,,🟩🟨⬛,,34145.0,,⬛️⬛️⬛️,,🟩🟨⬛,
2025-04-04,673,1,,,,42393.0,,🟩🟩🟨,,🟩🟩🟨,,31302.0,,⬛️⬛️⬛️,,🟩🟩⬛,
2025-04-04,673,2,,,,42393.0,,🟩🟩🟨,,🟩⬛⬛,,31302.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-04,673,3,,,,42393.0,,🟩🟨⬛️,,🟩⬛⬛,,31302.0,,🟩🟨⬛️,,⬛️⬛️⬛️,
2025-04-04,673,4,,,,42393.0,,🟩🟩🟨,,🟩🟩🟨,,31302.0,,🟩🟩🟨,,🟩🟩🟨,
2025-04-04,673,5,,,,42393.0,,🟩🟩🟨,,🟩🟩⬛,,31302.0,,⬛️⬛️⬛️,,🟩🟨⬛,
2025-04-07,676,1,,,,40969.0,,🟩⬛️⬛️,,🟩🟩🟨,,40464.0,,⬛️⬛️⬛️,,🟩🟨⬛,
2025-04-07,676,2,,,,40969.0,,🟩🟩🟨,,🟩🟩⬛,,40464.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-07,676,3,,,,40969.0,,🟩⬛️⬛️,,🟩🟨⬛,,40464.0,,🟩🟩🟨,,🟩🟩🟩,
